F_Id,F_ParentId,F_Layers,F_EnCode,F_FullName,F_SimpleSpelling,F_SortCode,F_DeleteMark,F_EnabledMark,F_Description,F_CreateTime,F_CreatorUserId,F_LastModifyTime,F_LastModifyUserId,F_DeleteTime,F_DeleteUserId
370400,370000,2,370400,枣庄市,zzs,370400,,TRUE,,2016/7/20 0:00,,,,,
370500,370000,2,370500,东营市,dys,370500,,TRUE,,2016/7/20 0:00,,,,,
370600,370000,2,370600,烟台市,yts,370600,,TRUE,,2016/7/20 0:00,,,,,
370700,370000,2,370700,潍坊市,wfs,370700,,TRUE,,2016/7/20 0:00,,,,,
370800,370000,2,370800,济宁市,jns,370800,,TRUE,,2016/7/20 0:00,,,,,
370900,370000,2,370900,泰安市,tas,370900,,TRUE,,2016/7/20 0:00,,,,,
371000,370000,2,371000,威海市,whs,371000,,TRUE,,2016/7/20 0:00,,,,,
371100,370000,2,371100,日照市,rzs,371100,,TRUE,,2016/7/20 0:00,,,,,
371200,370000,2,371200,莱芜市,lws,371200,,TRUE,,2016/7/20 0:00,,,,,
371300,370000,2,371300,临沂市,lys,371300,,TRUE,,2016/7/20 0:00,,,,,
371400,370000,2,371400,德州市,dzs,371400,,TRUE,,2016/7/20 0:00,,,,,
371500,370000,2,371500,聊城市,lcs,371500,,TRUE,,2016/7/20 0:00,,,,,
371600,370000,2,371600,滨州市,bzs,371600,,TRUE,,2016/7/20 0:00,,,,,
371700,370000,2,371700,菏泽市,hzs,371700,,TRUE,,2016/7/20 0:00,,,,,
410100,410000,2,410100,郑州市,zzs,410100,,TRUE,,2016/7/20 0:00,,,,,
410200,410000,2,410200,开封市,kfs,410200,,TRUE,,2016/7/20 0:00,,,,,
410300,410000,2,410300,洛阳市,lys,410300,,TRUE,,2016/7/20 0:00,,,,,
410400,410000,2,410400,平顶山市,pdss,410400,,TRUE,,2016/7/20 0:00,,,,,
410500,410000,2,410500,安阳市,ays,410500,,TRUE,,2016/7/20 0:00,,,,,
410600,410000,2,410600,鹤壁市,hbs,410600,,TRUE,,2016/7/20 0:00,,,,,
410700,410000,2,410700,新乡市,xxs,410700,,TRUE,,2016/7/20 0:00,,,,,
410800,410000,2,410800,焦作市,jzs,410800,,TRUE,,2016/7/20 0:00,,,,,
410881,410000,2,410881,济源市,jys,410881,,TRUE,,2016/7/20 0:00,,,,,
410900,410000,2,410900,濮阳市,pys,410900,,TRUE,,2016/7/20 0:00,,,,,
411000,410000,2,411000,许昌市,xcs,411000,,TRUE,,2016/7/20 0:00,,,,,
411100,410000,2,411100,漯河市,lhs,411100,,TRUE,,2016/7/20 0:00,,,,,
411200,410000,2,411200,三门峡市,smxs,411200,,TRUE,,2016/7/20 0:00,,,,,
411300,410000,2,411300,南阳市,nys,411300,,TRUE,,2016/7/20 0:00,,,,,
411400,410000,2,411400,商丘市,sqs,411400,,TRUE,,2016/7/20 0:00,,,,,
411500,410000,2,411500,信阳市,xys,411500,,TRUE,,2016/7/20 0:00,,,,,
411600,410000,2,411600,周口市,zks,411600,,TRUE,,2016/7/20 0:00,,,,,
152200,150000,2,152200,兴安盟,xam,152200,,TRUE,,2016/7/20 0:00,,,,,
152500,150000,2,152500,锡林郭勒盟,xlglm,152500,,TRUE,,2016/7/20 0:00,,,,,
152900,150000,2,152900,阿拉善盟,alsm,152900,,TRUE,,2016/7/20 0:00,,,,,
210100,210000,2,210100,沈阳市,sys,210100,,TRUE,,2016/7/20 0:00,,,,,
210200,210000,2,210200,大连市,dls,210200,,TRUE,,2016/7/20 0:00,,,,,
210300,210000,2,210300,鞍山市,ass,210300,,TRUE,,2016/7/20 0:00,,,,,
210400,210000,2,210400,抚顺市,fss,210400,,TRUE,,2016/7/20 0:00,,,,,
210500,210000,2,210500,本溪市,bxs,210500,,TRUE,,2016/7/20 0:00,,,,,
210600,210000,2,210600,丹东市,dds,210600,,TRUE,,2016/7/20 0:00,,,,,
210700,210000,2,210700,锦州市,jzs,210700,,TRUE,,2016/7/20 0:00,,,,,
210800,210000,2,210800,营口市,yks,210800,,TRUE,,2016/7/20 0:00,,,,,
210900,210000,2,210900,阜新市,fxs,210900,,TRUE,,2016/7/20 0:00,,,,,
211000,210000,2,211000,辽阳市,lys,211000,,TRUE,,2016/7/20 0:00,,,,,
211100,210000,2,211100,盘锦市,pjs,211100,,TRUE,,2016/7/20 0:00,,,,,
211200,210000,2,211200,铁岭市,tls,211200,,TRUE,,2016/7/20 0:00,,,,,
211300,210000,2,211300,朝阳市,zys,211300,,TRUE,,2016/7/20 0:00,,,,,
211400,210000,2,211400,葫芦岛市,hlds,211400,,TRUE,,2016/7/20 0:00,,,,,
220100,220000,2,220100,长春市,zcs,220100,,TRUE,,2016/7/20 0:00,,,,,
220200,220000,2,220200,吉林市,jls,220200,,TRUE,,2016/7/20 0:00,,,,,
220300,220000,2,220300,四平市,sps,220300,,TRUE,,2016/7/20 0:00,,,,,
220400,220000,2,220400,辽源市,lys,220400,,TRUE,,2016/7/20 0:00,,,,,
220500,220000,2,220500,通化市,ths,220500,,TRUE,,2016/7/20 0:00,,,,,
220600,220000,2,220600,白山市,bss,220600,,TRUE,,2016/7/20 0:00,,,,,
